model,layer,format,auroc,n
Qwen/Qwen2.5-7B-Instruct,0,english,0.5,215
Qwen/Qwen2.5-7B-Instruct,0,chinese,0.5,1072
Qwen/Qwen2.5-7B-Instruct,0,japanese,0.5,1072
Qwen/Qwen2.5-7B-Instruct,0,spanish,0.5,1072
Qwen/Qwen2.5-7B-Instruct,1,english,0.9644347826086956,215
Qwen/Qwen2.5-7B-Instruct,1,chinese,0.9273286713286713,1072
Qwen/Qwen2.5-7B-Instruct,1,japanese,0.8966870629370629,1072
Qwen/Qwen2.5-7B-Instruct,1,spanish,0.9040384615384615,1072
Qwen/Qwen2.5-7B-Instruct,2,english,0.9601739130434782,215
Qwen/Qwen2.5-7B-Instruct,2,chinese,0.9566048951048951,1072
Qwen/Qwen2.5-7B-Instruct,2,japanese,0.9390524475524477,1072
Qwen/Qwen2.5-7B-Instruct,2,spanish,0.9313181818181818,1072
Qwen/Qwen2.5-7B-Instruct,3,english,0.9744347826086956,215
Qwen/Qwen2.5-7B-Instruct,3,chinese,0.959034965034965,1072
Qwen/Qwen2.5-7B-Instruct,3,japanese,0.9354860139860139,1072
Qwen/Qwen2.5-7B-Instruct,3,spanish,0.9331433566433567,1072
Qwen/Qwen2.5-7B-Instruct,4,english,0.9513913043478261,215
Qwen/Qwen2.5-7B-Instruct,4,chinese,0.9455699300699302,1072
Qwen/Qwen2.5-7B-Instruct,4,japanese,0.9152552447552447,1072
Qwen/Qwen2.5-7B-Instruct,4,spanish,0.9211818181818183,1072
Qwen/Qwen2.5-7B-Instruct,5,english,0.9743478260869566,215
Qwen/Qwen2.5-7B-Instruct,5,chinese,0.9639405594405595,1072
Qwen/Qwen2.5-7B-Instruct,5,japanese,0.9395454545454546,1072
Qwen/Qwen2.5-7B-Instruct,5,spanish,0.9552727272727273,1072
Qwen/Qwen2.5-7B-Instruct,6,english,0.9785217391304348,215
Qwen/Qwen2.5-7B-Instruct,6,chinese,0.9738426573426573,1072
Qwen/Qwen2.5-7B-Instruct,6,japanese,0.9670104895104895,1072
Qwen/Qwen2.5-7B-Instruct,6,spanish,0.9615524475524475,1072
Qwen/Qwen2.5-7B-Instruct,7,english,0.9836521739130435,215
Qwen/Qwen2.5-7B-Instruct,7,chinese,0.9832622377622378,1072
Qwen/Qwen2.5-7B-Instruct,7,japanese,0.9772902097902098,1072
Qwen/Qwen2.5-7B-Instruct,7,spanish,0.9662097902097903,1072
Qwen/Qwen2.5-7B-Instruct,8,english,0.9902608695652174,215
Qwen/Qwen2.5-7B-Instruct,8,chinese,0.9901678321678322,1072
Qwen/Qwen2.5-7B-Instruct,8,japanese,0.9815,1072
Qwen/Qwen2.5-7B-Instruct,8,spanish,0.9786888111888112,1072
Qwen/Qwen2.5-7B-Instruct,9,english,0.9911304347826088,215
Qwen/Qwen2.5-7B-Instruct,9,chinese,0.991479020979021,1072
Qwen/Qwen2.5-7B-Instruct,9,japanese,0.9844300699300699,1072
Qwen/Qwen2.5-7B-Instruct,9,spanish,0.9840734265734266,1072
Qwen/Qwen2.5-7B-Instruct,10,english,0.9866086956521739,215
Qwen/Qwen2.5-7B-Instruct,10,chinese,0.990555944055944,1072
Qwen/Qwen2.5-7B-Instruct,10,japanese,0.9893391608391607,1072
Qwen/Qwen2.5-7B-Instruct,10,spanish,0.9855279720279722,1072
Qwen/Qwen2.5-7B-Instruct,11,english,0.9852173913043478,215
Qwen/Qwen2.5-7B-Instruct,11,chinese,0.9897307692307692,1072
Qwen/Qwen2.5-7B-Instruct,11,japanese,0.9878636363636364,1072
Qwen/Qwen2.5-7B-Instruct,11,spanish,0.9869195804195804,1072
Qwen/Qwen2.5-7B-Instruct,12,english,0.9791304347826087,215
Qwen/Qwen2.5-7B-Instruct,12,chinese,0.9888636363636363,1072
Qwen/Qwen2.5-7B-Instruct,12,japanese,0.9882797202797202,1072
Qwen/Qwen2.5-7B-Instruct,12,spanish,0.9915244755244755,1072
Qwen/Qwen2.5-7B-Instruct,13,english,0.988695652173913,215
Qwen/Qwen2.5-7B-Instruct,13,chinese,0.996090909090909,1072
Qwen/Qwen2.5-7B-Instruct,13,japanese,0.9886503496503496,1072
Qwen/Qwen2.5-7B-Instruct,13,spanish,0.9941888111888113,1072
Qwen/Qwen2.5-7B-Instruct,14,english,0.9894782608695653,215
Qwen/Qwen2.5-7B-Instruct,14,chinese,0.9987412587412587,1072
Qwen/Qwen2.5-7B-Instruct,14,japanese,0.9887412587412587,1072
Qwen/Qwen2.5-7B-Instruct,14,spanish,0.9962587412587411,1072
Qwen/Qwen2.5-7B-Instruct,15,english,0.9975652173913043,215
Qwen/Qwen2.5-7B-Instruct,15,chinese,0.9992167832167832,1072
Qwen/Qwen2.5-7B-Instruct,15,japanese,0.9941293706293706,1072
Qwen/Qwen2.5-7B-Instruct,15,spanish,0.9971748251748251,1072
Qwen/Qwen2.5-7B-Instruct,16,english,0.9996521739130434,215
Qwen/Qwen2.5-7B-Instruct,16,chinese,0.9994335664335664,1072
Qwen/Qwen2.5-7B-Instruct,16,japanese,0.9962797202797202,1072
Qwen/Qwen2.5-7B-Instruct,16,spanish,0.9981468531468531,1072
Qwen/Qwen2.5-7B-Instruct,17,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,17,chinese,0.999576923076923,1072
Qwen/Qwen2.5-7B-Instruct,17,japanese,0.9962132867132868,1072
Qwen/Qwen2.5-7B-Instruct,17,spanish,0.9981188811188811,1072
Qwen/Qwen2.5-7B-Instruct,18,english,1.0,215
Qwen/Qwen2.5-7B-Instruct,18,chinese,0.9993741258741259,1072
Qwen/Qwen2.5-7B-Instruct,18,japanese,0.9956188811188811,1072
