layer,auroc,n
0,0.5,100
1,0.4947619047619048,100
2,0.5033333333333334,100
3,0.5290476190476191,100
4,0.5509523809523809,100
5,0.5647619047619048,100
6,0.6461904761904762,100
7,0.579047619047619,100
8,0.6142857142857143,100
9,0.6480952380952381,100
10,0.6014285714285714,100
11,0.6133333333333333,100
12,0.6952380952380952,100
13,0.7271428571428571,100
14,0.7328571428571429,100
15,0.7685714285714286,100
16,0.7857142857142857,100
17,0.8547619047619048,100
18,0.8828571428571429,100
19,0.8466666666666667,100
20,0.8595238095238096,100
21,0.8595238095238096,100
22,0.8733333333333334,100
23,0.8776190476190476,100
24,0.8709523809523809,100
25,0.8738095238095238,100
26,0.8661904761904762,100
27,0.8690476190476191,100
28,0.8976190476190478,100
