metric,format,layer,refusal_rate,baseline_refusal_rate,drop,echo_rate,n
judge,letter_spaced,1,0.0,0.4,0.4,0.5,2
judge,letter_spaced,11,0.0,0.4,0.4,1.0,1
judge,letter_spaced,13,0.0,0.4,0.4,1.0,1
judge,letter_spaced,15,0.0,0.4,0.4,1.0,1
judge,letter_spaced,17,0.0,0.4,0.4,1.0,1
judge,letter_spaced,19,0.0,0.4,0.4,1.0,1
judge,letter_spaced,23,0.0,0.4,0.4,0.0,1
judge,letter_spaced,27,0.0,0.4,0.4,0.0,1
judge,letter_spaced,3,0.0,0.4,0.4,0.0,1
judge,letter_spaced,5,0.0,0.4,0.4,0.0,1
judge,letter_spaced,7,0.0,0.4,0.4,0.0,1
judge,letter_spaced,9,0.0,0.4,0.4,1.0,1
judge,letter_spaced,14,0.1,0.4,0.30000000000000004,0.2,10
judge,letter_spaced,16,0.1,0.4,0.30000000000000004,0.5,10
judge,letter_spaced,20,0.1111111111111111,0.4,0.2888888888888889,0.4444444444444444,9
judge,letter_spaced,18,0.125,0.4,0.275,0.375,8
judge,letter_spaced,28,0.25,0.4,0.15000000000000002,0.5,8
judge,letter_spaced,6,0.3,0.4,0.10000000000000003,0.4,10
judge,letter_spaced,2,0.4,0.4,0.0,0.3,10
judge,letter_spaced,22,0.4,0.4,0.0,0.3,10
judge,letter_spaced,26,0.4,0.4,0.0,0.3,10
judge,letter_spaced,4,0.4,0.4,0.0,0.4,10
judge,letter_spaced,8,0.4,0.4,0.0,0.5,10
judge,letter_spaced,10,0.4444444444444444,0.4,-0.0444444444444444,0.4444444444444444,9
judge,letter_spaced,12,0.4444444444444444,0.4,-0.0444444444444444,0.4444444444444444,9
judge,letter_spaced,24,0.4444444444444444,0.4,-0.0444444444444444,0.3333333333333333,9
judge,letter_spaced,21,1.0,0.4,-0.6,0.0,1
