model,track,format,conditions,layer,refusal_auroc,comply_auroc,n
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,0,0.5,0.5,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,1,0.5160818713450293,0.48391812865497075,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,2,0.587719298245614,0.412280701754386,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,3,0.48391812865497075,0.5160818713450293,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,4,0.4181286549707602,0.5818713450292399,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,5,0.47514619883040926,0.5248538011695907,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,6,0.43859649122807015,0.5614035087719298,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,7,0.45467836257309946,0.5453216374269005,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,8,0.4883040935672516,0.5116959064327484,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,9,0.5497076023391814,0.45029239766081863,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,10,0.5277777777777778,0.4722222222222222,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,11,0.5292397660818713,0.4707602339181287,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,12,0.5950292397660819,0.4049707602339181,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,13,0.6140350877192983,0.38596491228070173,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,14,0.7339181286549707,0.26608187134502925,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,15,0.72953216374269,0.27046783625730997,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,16,0.7456140350877193,0.2543859649122807,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,17,0.7529239766081871,0.2470760233918129,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,18,0.8260233918128654,0.17397660818713456,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,19,0.9312865497076023,0.06871345029239773,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,20,0.922514619883041,0.07748538011695905,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,21,0.9429824561403509,0.05701754385964908,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,22,0.9269005847953217,0.07309941520467833,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,23,0.9210526315789473,0.07894736842105265,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,24,0.9137426900584795,0.08625730994152048,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,25,0.8845029239766081,0.11549707602339188,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,26,0.881578947368421,0.11842105263157898,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,27,0.8815789473684211,0.11842105263157887,69
Qwen/Qwen2.5-7B-Instruct,ciphers,letter_spaced,baseline,28,0.9093567251461988,0.09064327485380119,69
