model,track,format,conditions,layer,refusal_auroc,comply_auroc,n
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,0,0.5,0.5,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,1,0.8724999999999999,0.12750000000000006,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,2,0.92,0.07999999999999996,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,3,0.89,0.10999999999999999,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,4,0.8125,0.1875,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,5,0.9075,0.09250000000000003,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,6,0.955,0.04500000000000004,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,7,0.965,0.03500000000000003,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,8,0.99,0.010000000000000009,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,9,0.9924999999999999,0.007500000000000062,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,10,0.995,0.0050000000000000044,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,11,0.995,0.0050000000000000044,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,12,0.9925,0.007499999999999951,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,13,0.9974999999999999,0.0025000000000000577,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,14,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,15,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,16,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,17,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,18,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,19,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,20,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,21,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,22,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,23,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,24,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,25,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,26,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,27,1.0,0.0,40
Qwen/Qwen2.5-7B-Instruct,languages,english,baseline,28,1.0,0.0,40
