model,cipher,condition,layer,cipher_refusal_auroc,cosine_sim_with_english_direction,n
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,0,0.5,0.0,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,1,0.4444444444444444,-0.029140060767531395,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,2,0.5014619883040936,0.08327008038759232,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,3,0.45467836257309946,-0.08072316646575928,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,4,0.47953216374269003,-0.19757558405399323,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,5,0.45760233918128657,-0.07606800645589828,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,6,0.5307017543859649,-0.12505249679088593,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,7,0.48245614035087714,-0.09845717251300812,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,8,0.4605263157894737,-0.03341542184352875,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,9,0.48245614035087725,0.03336445242166519,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,10,0.4883040935672514,0.03957222402095795,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,11,0.48684210526315785,0.034074921160936356,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,12,0.5233918128654971,0.09583219140768051,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,13,0.4400584795321637,0.13593199849128723,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,14,0.489766081871345,0.2734281122684479,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,15,0.5628654970760233,0.276802659034729,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,16,0.6286549707602339,0.2980033755302429,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,17,0.5365497076023391,0.29671967029571533,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,18,0.6827485380116959,0.3520360589027405,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,19,0.9312865497076023,0.5663212537765503,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,20,0.9459064327485379,0.5227180123329163,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,21,0.9371345029239766,0.4989047944545746,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,22,0.9473684210526314,0.42975229024887085,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,23,0.953216374269006,0.3594210743904114,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,24,0.9488304093567251,0.3725503087043762,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,25,0.9517543859649122,0.34604600071907043,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,26,0.9517543859649124,0.2953152060508728,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,27,0.9473684210526316,0.2565176486968994,69
Qwen/Qwen2.5-7B-Instruct,letter_spaced,baseline,28,0.9400584795321638,0.23040252923965454,69
